make,model,year,mileage,avg_trip_length_miles,maintenance_events,past_failures,severity_score,maintenance_cost_last_year,fuel_cost_last_year,complaint_text,maintenance_action,has_mechanical_issue
Hyundai,Sonata,2022,53788,23.0,1,1,3.65,459.36,1109.22,Complaints about 2022 Hyundai Sonata include suspension noise and 53788 after loss of power steering maintenance. Owner felt frustrating after software update.,software update,1
Ford,F-150,2013,59136,13.2,5,0,2.64,976.76,1264.1,2013 Ford F-150 owner reported transmission failure leading to 59136 during increased stopping distance driving. Owner felt frustrating after battery inspection.,battery inspection,1
Hyundai,Sonata,2012,63269,22.5,1,0,3.22,361.79,1220.4,Complaints about 2012 Hyundai Sonata include transmission failure and 63269 after reduced acceleration maintenance. Owner felt comfortable after oil change.,oil change,0
Chevrolet,Malibu,2016,44557,20.0,4,2,4.11,963.7,1302.21,2016 Chevrolet Malibu suffers from engine stalling with 44557 warning lights at reduced acceleration mileage. Owner felt average after battery inspection.,battery inspection,1
Tesla,Model Y,2014,67733,16.1,6,1,1.71,995.52,894.35,Complaints about 2014 Tesla Model Y include engine stalling and 67733 after sudden shutdown maintenance. Owner felt average after tire rotation.,tire rotation,1
Honda,Accord,2021,54925,23.7,2,3,4.71,675.67,927.33,2021 Honda Accord experienced transmission failure around 54925 miles causing warning chimes. Owner felt annoying after brake pad replacement.,brake pad replacement,1
Subaru,Impreza,2017,33532,24.6,1,0,3.13,770.42,1461.75,2017 Subaru Impreza experienced air conditioning fault around 33532 miles causing loss of power steering. Owner felt unsafe and comfortable after battery inspection.,battery inspection,0
Toyota,RAV4,2018,55134,18.5,3,0,3.4,765.92,1053.54,2018 Toyota RAV4 owner reported air conditioning fault leading to 55134 during sudden shutdown driving. Owner felt frustrating after brake pad replacement.,brake pad replacement,1
Honda,Accord,2011,90061,15.9,3,1,2.71,531.53,1244.98,2011 Honda Accord owner reported electrical system glitch leading to 90061 during increased stopping distance driving. Owner felt annoying and quiet after oil change.,oil change,1
Toyota,Corolla,2021,54008,25.6,2,1,1.48,561.72,945.97,2021 Toyota Corolla suffers from electrical system glitch with 54008 warning lights at warning chimes mileage. Owner felt average after brake pad replacement.,brake pad replacement,1
Hyundai,Tucson,2022,63660,5,2,1,6.95,842.96,1141.8,2022 Hyundai Tucson suffers from engine stalling with 63660 warning lights at dashboard malfunction mileage. Owner felt average after oil change.,oil change,0
Ford,F-150,2017,62316,13.4,2,0,2.54,408.39,1603.84,2017 Ford F-150 experienced air conditioning fault around 62316 miles causing increased stopping distance. Owner felt average after brake pad replacement.,brake pad replacement,0
Honda,Accord,2011,54015,18.6,0,0,0.85,633.69,1269.23,Complaints about 2011 Honda Accord include suspension noise and 54015 after sudden shutdown maintenance. Owner felt disappointed after software update.,software update,0
Ford,F-150,2012,86688,23.8,3,1,3.49,680.22,1417.25,Complaints about 2012 Ford F-150 include battery degradation and 86688 after sudden shutdown maintenance. Owner felt annoying after tire rotation.,tire rotation,1
Tesla,Model 3,2016,29608,19.7,2,1,2.86,756.44,936.13,2016 Tesla Model 3 suffers from transmission failure with 29608 warning lights at increased stopping distance mileage. Owner felt satisfied after software update.,software update,1
Chevrolet,Malibu,2014,49492,9.4,5,1,3.42,554.97,1060.81,Complaints about 2014 Chevrolet Malibu include battery degradation and 49492 after reduced acceleration maintenance. Owner felt unsafe after tire rotation.,tire rotation,1
Hyundai,Sonata,2021,83893,25.4,1,1,1.27,502.82,797.88,2021 Hyundai Sonata experienced infotainment crash around 83893 miles causing increased stopping distance. Owner felt expensive and satisfied after battery inspection.,battery inspection,0
Tesla,Model Y,2016,75650,5.2,0,0,6.99,721.54,582.47,2016 Tesla Model Y suffers from electrical system glitch with 75650 warning lights at warning chimes mileage. Owner felt reliable after software update.,software update,0
Tesla,Model S,2011,47458,28.3,1,3,5.54,643.81,1026.38,2011 Tesla Model S suffers from infotainment crash with 47458 warning lights at warning chimes mileage. Owner felt unsafe and satisfied after tire rotation.,tire rotation,1
Hyundai,Elantra,2015,78516,23.3,3,0,5.87,946.54,775.45,2015 Hyundai Elantra owner reported transmission failure leading to 78516 during sudden shutdown driving. Owner felt quiet after brake pad replacement.,brake pad replacement,1
Chevrolet,Silverado,2015,66208,19.6,4,1,0.54,728.15,1081.32,Complaints about 2015 Chevrolet Silverado include suspension noise and 66208 after reduced acceleration maintenance. Owner felt frustrating and comfortable after oil change.,oil change,0
Honda,Accord,2017,63152,10.9,0,2,4.21,217.7,870.95,2017 Honda Accord suffers from transmission failure with 63152 warning lights at sudden shutdown mileage. Owner felt average after battery inspection.,battery inspection,0
Honda,Civic,2015,57769,16.3,2,0,3.11,920.4,1187.55,2015 Honda Civic suffers from air conditioning fault with 57769 warning lights at increased stopping distance mileage. Owner felt quiet after oil change.,oil change,0
Chevrolet,Equinox,2017,71826,14.0,3,0,3.37,1194.91,1068.47,2017 Chevrolet Equinox suffers from engine stalling with 71826 warning lights at sudden shutdown mileage. Owner felt smooth after oil change.,oil change,0
BMW,X3,2011,44312,7.7,3,0,5.34,610.66,1329.65,2011 BMW X3 owner reported electrical system glitch leading to 44312 during reduced acceleration driving. Owner felt expensive and satisfied after oil change.,oil change,0
Subaru,Impreza,2022,68621,10.5,1,2,4.62,960.43,1100.98,2022 Subaru Impreza suffers from transmission failure with 68621 warning lights at reduced acceleration mileage. Owner felt frustrating and quiet after oil change.,oil change,1
Subaru,Forester,2015,72741,20.8,4,1,4.73,857.45,1359.2,2015 Subaru Forester suffers from infotainment crash with 72741 warning lights at dashboard malfunction mileage. Owner felt expensive and comfortable after battery inspection.,battery inspection,1
Hyundai,Tucson,2020,56200,22.0,1,0,6.23,523.45,1222.04,2020 Hyundai Tucson suffers from engine stalling with 56200 warning lights at sudden shutdown mileage. Owner felt expensive after brake pad replacement.,brake pad replacement,0
BMW,3 Series,2016,47648,19.1,0,3,3.12,592.4,898.06,Complaints about 2016 BMW 3 Series include engine stalling and 47648 after dashboard malfunction maintenance. Owner felt average after brake pad replacement.,brake pad replacement,0
BMW,3 Series,2016,66265,14.3,2,0,2.68,817.51,1376.42,2016 BMW 3 Series owner reported engine stalling leading to 66265 during increased stopping distance driving. Owner felt disappointed and smooth after software update.,software update,1
Ford,Fusion,2012,75608,18.6,2,2,1.02,902.06,1022.56,2012 Ford Fusion owner reported suspension noise leading to 75608 during warning chimes driving. Owner felt annoying after battery inspection.,battery inspection,0
Toyota,Corolla,2018,74914,21.0,0,1,0.62,172.28,1539.73,2018 Toyota Corolla experienced infotainment crash around 74914 miles causing dashboard malfunction. Owner felt average after battery inspection.,battery inspection,1
Hyundai,Tucson,2012,70824,24.3,3,1,3.01,472.34,320,Complaints about 2012 Hyundai Tucson include battery degradation and 70824 after loss of power steering maintenance. Owner felt unsafe after battery inspection.,battery inspection,1
BMW,3 Series,2015,78726,23.1,2,2,2.69,589.65,738.69,2015 BMW 3 Series experienced infotainment crash around 78726 miles causing reduced acceleration. Owner felt unsafe after software update.,software update,0
Honda,CR-V,2020,91822,13.0,1,0,4.25,890.32,1088.19,2020 Honda CR-V experienced electrical system glitch around 91822 miles causing reduced acceleration. Owner felt quiet after software update.,software update,0
Toyota,RAV4,2015,74843,12.2,1,0,2.66,361.63,1592.55,2015 Toyota RAV4 owner reported transmission failure leading to 74843 during dashboard malfunction driving. Owner felt average after battery inspection.,battery inspection,0
Chevrolet,Malibu,2013,46234,14.0,4,1,6.38,451.48,1448.29,2013 Chevrolet Malibu owner reported battery degradation leading to 46234 during reduced acceleration driving. Owner felt annoying after software update.,software update,1
Honda,CR-V,2018,67295,14.0,3,2,2.0,711.68,1297.86,2018 Honda CR-V experienced suspension noise around 67295 miles causing reduced acceleration. Owner felt unsafe after software update.,software update,0
BMW,3 Series,2012,60827,31.0,4,1,4.4,676.81,1366.78,2012 BMW 3 Series owner reported infotainment crash leading to 60827 during sudden shutdown driving. Owner felt disappointed after software update.,software update,0
Hyundai,Elantra,2011,69148,12.0,4,0,2.17,878.44,1371.02,2011 Hyundai Elantra experienced suspension noise around 69148 miles causing sudden shutdown. Owner felt comfortable after battery inspection.,battery inspection,0
Tesla,Model Y,2010,80575,16.6,2,2,4.0,530.1,1418.33,2010 Tesla Model Y suffers from battery degradation with 80575 warning lights at warning chimes mileage. Owner felt comfortable after brake pad replacement.,brake pad replacement,1
Chevrolet,Silverado,2022,61370,19.7,4,1,1.66,949.95,1379.2,2022 Chevrolet Silverado suffers from engine stalling with 61370 warning lights at loss of power steering mileage. Owner felt smooth after battery inspection.,battery inspection,0
Hyundai,Sonata,2022,49938,7.3,1,2,3.13,611.11,1310.5,2022 Hyundai Sonata suffers from brake wear with 49938 warning lights at loss of power steering mileage. Owner felt reliable after brake pad replacement.,brake pad replacement,0
BMW,X3,2016,53551,34.6,1,1,4.31,335.11,1359.25,2016 BMW X3 experienced air conditioning fault around 53551 miles causing sudden shutdown. Owner felt comfortable after brake pad replacement.,brake pad replacement,0
Toyota,RAV4,2012,57566,11.7,3,1,0,650.26,1347.22,2012 Toyota RAV4 suffers from battery degradation with 57566 warning lights at dashboard malfunction mileage. Owner felt unsafe after tire rotation.,tire rotation,1
Tesla,Model Y,2017,62494,21.1,0,0,2.17,120,1491.54,2017 Tesla Model Y experienced suspension noise around 62494 miles causing warning chimes. Owner felt unsafe after tire rotation.,tire rotation,0
Ford,Escape,2018,23526,20.8,2,0,8.37,428.08,1052.27,2018 Ford Escape experienced battery degradation around 23526 miles causing increased stopping distance. Owner felt annoying after software update.,software update,0
Honda,Civic,2015,49732,12.9,4,0,5.27,600.72,1285.77,Complaints about 2015 Honda Civic include engine stalling and 49732 after increased stopping distance maintenance. Owner felt disappointed and quiet after brake pad replacement.,brake pad replacement,0
Honda,Accord,2013,57305,13.0,0,0,1.89,395.74,1125.97,2013 Honda Accord owner reported battery degradation leading to 57305 during increased stopping distance driving. Owner felt average after brake pad replacement.,brake pad replacement,0
Toyota,Camry,2011,80613,20.4,3,1,2.52,519.6,1531.87,2011 Toyota Camry experienced infotainment crash around 80613 miles causing loss of power steering. Owner felt annoying after oil change.,oil change,1
Ford,Escape,2021,55365,10.5,2,1,8.09,655.84,1353.18,2021 Ford Escape experienced air conditioning fault around 55365 miles causing reduced acceleration. Owner felt annoying after oil change.,oil change,1
Ford,Escape,2019,58244,14.2,2,2,2.03,801.18,1223.11,2019 Ford Escape suffers from transmission failure with 58244 warning lights at sudden shutdown mileage. Owner felt average after tire rotation.,tire rotation,0
Toyota,Camry,2016,79815,21.1,2,0,4.49,456.78,1092.19,2016 Toyota Camry suffers from brake wear with 79815 warning lights at sudden shutdown mileage. Owner felt expensive after tire rotation.,tire rotation,1
Honda,Accord,2015,63800,12.8,3,1,4.5,800.19,872.97,Complaints about 2015 Honda Accord include battery degradation and 63800 after loss of power steering maintenance. Owner felt expensive after brake pad replacement.,brake pad replacement,1
BMW,X3,2018,62722,8.8,2,3,2.96,598.15,747.58,Complaints about 2018 BMW X3 include transmission failure and 62722 after increased stopping distance maintenance. Owner felt frustrating after tire rotation.,tire rotation,1
Subaru,Outback,2020,60958,25.8,1,1,2.52,727.26,787.51,2020 Subaru Outback owner reported air conditioning fault leading to 60958 during warning chimes driving. Owner felt unsafe after tire rotation.,tire rotation,0
Subaru,Forester,2012,59764,10.8,5,2,4.03,492.73,1881.86,2012 Subaru Forester suffers from brake wear with 59764 warning lights at loss of power steering mileage. Owner felt expensive after software update.,software update,0
Tesla,Model S,2011,43188,14.7,2,1,7.59,793.3,1798.84,2011 Tesla Model S owner reported brake wear leading to 43188 during warning chimes driving. Owner felt quiet after brake pad replacement.,brake pad replacement,0
Ford,F-150,2019,76223,17.7,0,1,2.24,660.88,1337.06,2019 Ford F-150 experienced suspension noise around 76223 miles causing warning chimes. Owner felt expensive after brake pad replacement.,brake pad replacement,1
Hyundai,Sonata,2020,72073,32.7,3,1,2.83,140.53,1359.14,2020 Hyundai Sonata suffers from battery degradation with 72073 warning lights at sudden shutdown mileage. Owner felt average after brake pad replacement.,brake pad replacement,0
Toyota,Camry,2014,55174,15.4,4,3,3.16,749.55,1316.15,2014 Toyota Camry owner reported air conditioning fault leading to 55174 during warning chimes driving. Owner felt average after oil change.,oil change,1
Chevrolet,Silverado,2019,79785,7.9,2,1,4.45,800.37,1202.86,Complaints about 2019 Chevrolet Silverado include electrical system glitch and 79785 after dashboard malfunction maintenance. Owner felt expensive and satisfied after software update.,software update,0
Toyota,RAV4,2011,71659,14.5,7,0,3.72,891.97,1109.42,Complaints about 2011 Toyota RAV4 include air conditioning fault and 71659 after warning chimes maintenance. Owner felt average after battery inspection.,battery inspection,0
Chevrolet,Silverado,2020,60907,5.8,0,1,5.43,783.62,1549.79,2020 Chevrolet Silverado owner reported electrical system glitch leading to 60907 during increased stopping distance driving. Owner felt expensive after brake pad replacement.,brake pad replacement,0
Hyundai,Elantra,2018,67148,16.1,0,1,3.69,343.35,1038.08,2018 Hyundai Elantra suffers from brake wear with 67148 warning lights at warning chimes mileage. Owner felt average after software update.,software update,0
Toyota,Corolla,2015,54257,10.9,0,3,3.89,757.38,894.46,2015 Toyota Corolla suffers from infotainment crash with 54257 warning lights at loss of power steering mileage. Owner felt expensive and satisfied after battery inspection.,battery inspection,1
Subaru,Impreza,2012,41168,17.4,0,0,2.3,551.51,1628.3,2012 Subaru Impreza owner reported infotainment crash leading to 41168 during increased stopping distance driving. Owner felt disappointed and reliable after brake pad replacement.,brake pad replacement,1
Subaru,Impreza,2022,88963,13.1,1,1,1.88,256.23,1202.99,2022 Subaru Impreza owner reported air conditioning fault leading to 88963 during reduced acceleration driving. Owner felt unsafe and quiet after oil change.,oil change,1
BMW,3 Series,2014,64509,30.5,2,1,0.02,637.33,1014.64,2014 BMW 3 Series experienced infotainment crash around 64509 miles causing increased stopping distance. Owner felt average after software update.,software update,0
BMW,X3,2016,49380,20.8,1,0,4.02,1079.12,1406.12,2016 BMW X3 suffers from transmission failure with 49380 warning lights at increased stopping distance mileage. Owner felt annoying and smooth after tire rotation.,tire rotation,0
Honda,Accord,2015,73175,26.1,1,2,5.0,791.15,1670.22,Complaints about 2015 Honda Accord include electrical system glitch and 73175 after dashboard malfunction maintenance. Owner felt smooth after software update.,software update,0
Honda,CR-V,2022,48916,18.6,1,3,1.93,606.44,1173.89,2022 Honda CR-V suffers from air conditioning fault with 48916 warning lights at dashboard malfunction mileage. Owner felt comfortable after software update.,software update,1
Chevrolet,Malibu,2012,77941,25.6,2,0,3.72,685.78,1586.58,Complaints about 2012 Chevrolet Malibu include electrical system glitch and 77941 after dashboard malfunction maintenance. Owner felt average after software update.,software update,0
Hyundai,Sonata,2012,58489,12.4,1,0,7.48,220.84,1552.4,2012 Hyundai Sonata experienced engine stalling around 58489 miles causing warning chimes. Owner felt disappointed and smooth after battery inspection.,battery inspection,1
Hyundai,Sonata,2010,55148,11.4,3,1,1.8,476.67,1155.81,2010 Hyundai Sonata suffers from brake wear with 55148 warning lights at sudden shutdown mileage. Owner felt frustrating after brake pad replacement.,brake pad replacement,1
Tesla,Model S,2014,61695,15.7,2,1,3.83,570.43,1634.05,2014 Tesla Model S suffers from transmission failure with 61695 warning lights at sudden shutdown mileage. Owner felt frustrating after battery inspection.,battery inspection,0
Honda,Accord,2016,58863,14.7,6,1,2.3,946.91,991.0,2016 Honda Accord experienced brake wear around 58863 miles causing increased stopping distance. Owner felt smooth after brake pad replacement.,brake pad replacement,1
Subaru,Outback,2014,65816,21.8,3,1,6.22,624.46,388.1,2014 Subaru Outback owner reported transmission failure leading to 65816 during sudden shutdown driving. Owner felt expensive after oil change.,oil change,1
BMW,3 Series,2020,59797,15.3,3,2,8.77,360.81,836.08,2020 BMW 3 Series owner reported engine stalling leading to 59797 during sudden shutdown driving. Owner felt average after battery inspection.,battery inspection,0
BMW,5 Series,2011,90126,25.8,2,0,1.53,767.96,1060.34,2011 BMW 5 Series experienced engine stalling around 90126 miles causing loss of power steering. Owner felt unsafe after tire rotation.,tire rotation,1
Subaru,Forester,2022,59453,29.1,3,1,5.36,569.02,1531.83,Complaints about 2022 Subaru Forester include engine stalling and 59453 after reduced acceleration maintenance. Owner felt frustrating and smooth after battery inspection.,battery inspection,0
Hyundai,Tucson,2019,62393,20.7,2,2,1.91,998.48,1715.33,2019 Hyundai Tucson owner reported battery degradation leading to 62393 during loss of power steering driving. Owner felt annoying after battery inspection.,battery inspection,1
Hyundai,Tucson,2022,28657,18.3,2,1,5.15,330.7,1071.63,2022 Hyundai Tucson owner reported transmission failure leading to 28657 during warning chimes driving. Owner felt average after battery inspection.,battery inspection,1
Subaru,Impreza,2017,68171,21.9,1,1,1.32,743.43,877.51,Complaints about 2017 Subaru Impreza include infotainment crash and 68171 after increased stopping distance maintenance. Owner felt frustrating and smooth after tire rotation.,tire rotation,0
BMW,3 Series,2020,50837,12.1,3,1,2.08,776.91,1323.43,2020 BMW 3 Series suffers from electrical system glitch with 50837 warning lights at dashboard malfunction mileage. Owner felt average after battery inspection.,battery inspection,0
BMW,3 Series,2017,72319,21.8,1,1,2.79,874.41,1292.24,2017 BMW 3 Series suffers from air conditioning fault with 72319 warning lights at sudden shutdown mileage. Owner felt frustrating after software update.,software update,1
BMW,X3,2011,76599,16.4,2,0,2.59,133.85,922.1,2011 BMW X3 owner reported electrical system glitch leading to 76599 during dashboard malfunction driving. Owner felt expensive after battery inspection.,battery inspection,0
Subaru,Forester,2010,57142,14.1,2,0,4.26,548.03,1047.53,Complaints about 2010 Subaru Forester include brake wear and 57142 after warning chimes maintenance. Owner felt annoying after tire rotation.,tire rotation,1
Hyundai,Tucson,2012,74735,21.7,2,0,1.05,788.62,1372.79,2012 Hyundai Tucson suffers from battery degradation with 74735 warning lights at loss of power steering mileage. Owner felt expensive and smooth after battery inspection.,battery inspection,0
Ford,Fusion,2012,51769,18.2,2,0,4.42,657.17,1507.95,2012 Ford Fusion suffers from air conditioning fault with 51769 warning lights at dashboard malfunction mileage. Owner felt frustrating after battery inspection.,battery inspection,0
Chevrolet,Equinox,2010,24550,16.8,1,2,5.59,732.07,1296.45,2010 Chevrolet Equinox suffers from suspension noise with 24550 warning lights at increased stopping distance mileage. Owner felt annoying and smooth after tire rotation.,tire rotation,1
Toyota,Corolla,2014,43958,27.0,3,2,2.91,348.02,1282.75,Complaints about 2014 Toyota Corolla include electrical system glitch and 43958 after reduced acceleration maintenance. Owner felt expensive and satisfied after tire rotation.,tire rotation,1
Tesla,Model Y,2020,67095,19.3,2,0,2.66,459.33,812.74,Complaints about 2020 Tesla Model Y include battery degradation and 67095 after reduced acceleration maintenance. Owner felt average after brake pad replacement.,brake pad replacement,0
Tesla,Model Y,2016,55792,19.7,4,2,0.52,431.59,1276.05,2016 Tesla Model Y experienced air conditioning fault around 55792 miles causing warning chimes. Owner felt annoying after tire rotation.,tire rotation,1
BMW,5 Series,2015,54565,15.0,4,2,3.24,766.54,1124.53,2015 BMW 5 Series owner reported air conditioning fault leading to 54565 during sudden shutdown driving. Owner felt satisfied after brake pad replacement.,brake pad replacement,1
BMW,5 Series,2011,37507,27.4,1,0,3.11,497.35,938.17,2011 BMW 5 Series experienced transmission failure around 37507 miles causing reduced acceleration. Owner felt expensive after brake pad replacement.,brake pad replacement,1
BMW,3 Series,2016,40609,15.6,1,1,1.68,525.08,1387.06,2016 BMW 3 Series experienced infotainment crash around 40609 miles causing reduced acceleration. Owner felt expensive after tire rotation.,tire rotation,0
Chevrolet,Malibu,2021,68973,23.0,2,0,3.53,356.43,624.68,Complaints about 2021 Chevrolet Malibu include suspension noise and 68973 after reduced acceleration maintenance. Owner felt expensive after oil change.,oil change,0
Toyota,RAV4,2014,85673,20.3,1,3,5.73,526.82,1346.43,Complaints about 2014 Toyota RAV4 include engine stalling and 85673 after increased stopping distance maintenance. Owner felt expensive after software update.,software update,1
Ford,Escape,2022,77895,21.5,0,0,7.16,399.35,1002.44,2022 Ford Escape experienced infotainment crash around 77895 miles causing dashboard malfunction. Owner felt disappointed and satisfied after tire rotation.,tire rotation,1
Chevrolet,Silverado,2018,67370,14.3,3,2,5.5,667.35,1881.76,2018 Chevrolet Silverado experienced engine stalling around 67370 miles causing dashboard malfunction. Owner felt average after software update.,software update,1
Toyota,RAV4,2012,57307,14.6,4,0,3.76,479.25,1589.64,Complaints about 2012 Toyota RAV4 include transmission failure and 57307 after loss of power steering maintenance. Owner felt expensive after tire rotation.,tire rotation,0
BMW,3 Series,2017,43129,20.3,1,2,2.71,649.09,1178.52,2017 BMW 3 Series suffers from transmission failure with 43129 warning lights at reduced acceleration mileage. Owner felt disappointed and reliable after software update.,software update,0
Subaru,Outback,2015,60364,31.3,3,1,3.84,911.2,1491.13,Complaints about 2015 Subaru Outback include air conditioning fault and 60364 after loss of power steering maintenance. Owner felt frustrating and satisfied after oil change.,oil change,0
Tesla,Model Y,2019,64321,18.3,6,1,5.13,347.85,1089.94,2019 Tesla Model Y suffers from transmission failure with 64321 warning lights at loss of power steering mileage. Owner felt expensive after software update.,software update,1
Toyota,Camry,2021,59162,19.8,2,2,1.74,523.13,1004.47,2021 Toyota Camry owner reported transmission failure leading to 59162 during dashboard malfunction driving. Owner felt unsafe after software update.,software update,1
BMW,5 Series,2017,48594,17.7,2,0,4.16,776.29,1488.6,Complaints about 2017 BMW 5 Series include infotainment crash and 48594 after sudden shutdown maintenance. Owner felt annoying and reliable after brake pad replacement.,brake pad replacement,1
Tesla,Model Y,2021,51684,15.5,1,2,4.87,706.12,1279.04,2021 Tesla Model Y owner reported infotainment crash leading to 51684 during dashboard malfunction driving. Owner felt disappointed and reliable after oil change.,oil change,0
Chevrolet,Silverado,2013,51613,20.6,3,1,2.03,1086.28,1455.11,Complaints about 2013 Chevrolet Silverado include air conditioning fault and 51613 after reduced acceleration maintenance. Owner felt annoying and quiet after oil change.,oil change,0
